name,email,created_at,login_at,status
"Aron Cartwright",myra.fay@kuvalis.com,2023-07-31T10:53:59.000000Z,"Jul 31, 2023 10:53 AM",1
"CLR Admin",webmaster@covenantuniversity.edu.ng,2023-07-31T10:53:58.000000Z,"Jul 31, 2023 11:03 PM",1
"Damaris Blanda",rogahn.dana@lind.com,2023-07-31T10:53:59.000000Z,,1
"Dr. Beryl Will II",delphine50@gmail.com,2023-07-31T10:53:58.000000Z,,1
"Emmalee Johnston DDS",izabella60@yahoo.com,2023-07-31T10:53:59.000000Z,,1
"Eudora VonRueden",ktrantow@hilpert.com,2023-07-31T10:53:59.000000Z,"Jul 30, 2023 10:53 AM",1
"Joelle Dietrich",leo64@pfannerstill.info,2023-07-31T10:53:59.000000Z,,1
"Malcolm Stracke",katlynn90@doyle.net,2023-07-31T10:53:59.000000Z,"Jul 26, 2023 10:53 AM",1
"Margie Price",evie.padberg@russel.com,2023-07-31T10:53:59.000000Z,,1
"Miss Lindsay Bednar",denesik.nia@cremin.com,2023-07-31T10:53:58.000000Z,,1
"Montana Aufderhar",sherwood04@mcclure.com,2023-07-31T10:53:58.000000Z,"Jul 21, 2023 10:53 AM",1
"Ms. Carmen Stiedemann V",brian.goyette@heaney.org,2023-07-31T10:53:59.000000Z,"Jul 21, 2023 10:53 AM",1
"Prof. Aurelie Stamm MD",stanton.camron@stehr.com,2023-07-31T10:53:59.000000Z,"Jul 21, 2023 10:53 AM",1
"Rudy D'Amore",carmel.beatty@gutkowski.com,2023-07-31T10:53:58.000000Z,"Jul 30, 2023 10:53 AM",0
"Valentin Auer",rterry@daugherty.com,2023-07-31T10:53:58.000000Z,"Jul 27, 2023 10:53 AM",1
